업종별(1),업종별(2),지역별(1),2016,2017,2018,2019,2020
" 수도, 하수 및 폐기물 처리, 원료 재생업",소계,세종,6,6,5,9,6
" 수도, 하수 및 폐기물 처리, 원료 재생업",소계,경기,244,265,264,257,242
" 수도, 하수 및 폐기물 처리, 원료 재생업",소계,강원,37,29,38,34,45
" 수도, 하수 및 폐기물 처리, 원료 재생업",소계,충북,46,38,33,53,55
" 수도, 하수 및 폐기물 처리, 원료 재생업",소계,충남,45,66,65,65,83
" 수도, 하수 및 폐기물 처리, 원료 재생업",소계,전북,24,38,45,44,34
" 수도, 하수 및 폐기물 처리, 원료 재생업",소계,전남,34,52,59,56,51
" 수도, 하수 및 폐기물 처리, 원료 재생업",소계,경북,91,69,118,78,64
" 수도, 하수 및 폐기물 처리, 원료 재생업",소계,경남,68,81,68,67,78
" 수도, 하수 및 폐기물 처리, 원료 재생업",소계,제주,18,21,14,13,19
건설업,소계,소계,62200,65019,67397,66279,66366
건설업,소계,서울,8478,8963,9697,8841,8488
건설업,소계,부산,3713,3671,3491,3383,3415
건설업,소계,대구,2438,2396,2491,2544,2624
건설업,소계,인천,3774,3816,4189,4017,4130
건설업,소계,광주,1887,2008,2196,2236,2457
건설업,소계,대전,1666,1777,1904,1874,1855
건설업,소계,울산,1559,1496,1377,1268,1319
건설업,소계,세종,264,304,319,355,311
건설업,소계,경기,16430,17845,18404,18342,18360
건설업,소계,강원,2423,2466,2590,2575,2696
건설업,소계,충북,2281,2490,2527,2435,2484
건설업,소계,충남,3108,3405,3253,3135,3164
건설업,소계,전북,2641,2762,3004,3213,3219
건설업,소계,전남,2328,2555,2883,3128,3063
건설업,소계,경북,3757,3678,3667,3738,3628
건설업,소계,경남,3874,3838,3956,3793,3877
건설업,소계,제주,1579,1549,1449,1402,1276
서비스업, 도매 및 소매업,소계,303493,303545,308798,333246,390055
서비스업, 도매 및 소매업,서울,67489,66846,68206,73834,90514
서비스업, 도매 및 소매업,부산,19986,20079,20193,21484,24314
서비스업, 도매 및 소매업,대구,14476,14550,14668,15940,16610
서비스업, 도매 및 소매업,인천,17759,17127,17666,19379,23682
서비스업, 도매 및 소매업,광주,9386,9209,9493,9640,10056
서비스업, 도매 및 소매업,대전,9209,9116,9143,9561,10746
