남성,건설업,37266,6618,2268,9566,1266,965,1367,1832,124,1117,1513,1399,1456,2061,2066,869,2225,554,35283,6270,1983,9231,1236,898,1151,1639,136,1053,1334,1238,1344,1982,2099,848,2151,690,34677,5558,2130,9093,1299,957,1168,1641,123,985,1325,1185,1351,2047,1984,890,2198,743,35622,5637,2238,9582,1231,920,1282,1731,146,961,1458,1277,1366,1958,2098,892,2203,642,31352,4773,2008,8644,1192,793,1244,1498,129,924,1316,1172,1220,1658,1700,680,1764,637
남성,음식업,68504,13657,3509,15349,2514,2296,2353,2866,255,2129,2431,2135,3369,3686,4488,1607,4661,1199,68580,13503,3518,15002,2543,2236,2373,2802,339,2364,2498,2236,3366,3708,4426,1670,4779,1217,67424,13153,3396,14765,2567,2132,2392,2945,350,2188,2508,2226,3371,3488,4258,1618,4680,1387,69493,13185,3612,15571,2551,2045,2476,3022,448,2345,2550,2189,3540,3628,4474,1686,4817,1354,61490,12129,3126,13871,2092,1910,2141,2675,359,2100,2219,2019,2984,2982,4075,1391,4097,1320
남성,숙박업,3466,355,207,536,275,73,126,251,5,78,149,169,76,270,228,65,360,243,3439,367,168,494,305,77,116,290,5,91,164,177,92,266,227,47,289,264,3534,408,173,571,302,71,115,294,2,73,129,173,71,235,190,62,289,376,3396,417,157,489,324,68,126,238,3,74,139,156,62,229,178,45,344,347,3339,501,158,482,297,88,103,219,2,58,127,169,78,231,195,60,274,297
남성,운수·창고·통신업,42957,8038,2654,12000,817,1047,1292,1596,145,1267,1388,1726,1963,2216,3389,840,2097,482,43486,8441,2583,12203,886,1163,1298,1674,151,1242,1342,1677,2006,2067,3230,825,2229,469,42507,7863,2618,12088,837,1152,1231,1593,143,1253,1336,1585,2051,2090,3207,822,2215,423,42844,7962,2753,11997,818,1196,1187,1529,134,1362,1362,1722,1974,1988,3373,772,2154,561,38907,7064,2372,10775,805,1086,1168,1502,135,1281,1234,1571,1674,1850,3061,733,2076,520
남성,부동산임대업,59721,16327,3624,17082,1470,1588,1465,1870,580,1340,1231,1166,2096,2066,3622,895,2534,765,58755,15500,3620,18747,1224,1312,1381,1911,539,1128,1170,1040,2044,1730,3336,838,2487,748,58578,14333,3781,21019,1371,1254,1220,1809,612,1206,973,966,1908,1508,2999,622,2190,807,58509,13282,4977,20474,1207,1542,1177,1772,426,1120,1029,1169,2124,1358,3240,732,2008,872,73619,17211,6221,24144,1625,2023,1569,2289,585,1490,1502,1681,2549,1795,4218,961,2751,1005
남성,대리·중개·도급업,6060,1515,334,1712,111,195,178,196,12,189,154,129,243,215,425,98,310,44,6524,1641,369,1762,148,192,191,218,17,211,152,163,288,227,471,126,309,39,6778,1687,355,1816,145,222,228,218,27,208,193,200,312,215,425,126,346,55,7010,1699,372,1915,149,213,203,245,29,205,203,197,316,246,499,107,351,61,6129,1393,313,1769,118,193,177,244,35,186,174,203,264,203,398,96,300,63
남성,서비스업,107089,29471,5876,26183,2567,3318,2848,3447,410,3055,2700,2354,4394,4168,6502,2436,6362,998,112116,30304,6004,27128,2721,3267,2789,3915,512,3334,2987,2607,4493,4170,6959,2573,7141,1212,112294,29509,6085,27687,2756,3176,2913,3897,592,3120,3109,2742,4630,4343,6929,2575,6930,1301,114355,29809,6509,29334,2673,3218,2892,4098,636,3319,3110,2690,4699,4234,6888,2315,6692,1239,107208,27670,6167,28882,2565,2956,2755,3903,621,3091,2905,2568,4130,3776,5959,2085,5910,1265
여성,합계,413010,87757,23845,102089,12257,12147,12536,15496,1922,12373,13700,13177,17744,20091,26628,9312,26209,5727,414934,85283,23818,105888,12019,11983,12350,15848,2162,12356,14076,13659,17378,19964,26436,9340,26456,5918,414640,81668,23797,109832,12511,11610,11821,16007,2453,11923,14408,13569,17223,19753,26249,9005,26397,6414,426527,83309,27118,114085,11995,11705,12202,16676,2426,11854,15179,14022,18158,19070,26744,9101,26408,6475,414438,81725,27104,114843,11221,11328,11554,15874,2632,11475,14160,13179,16610,17677,25691,8437,24840,6088
여성,농·임·어업,1449,17,61,176,97,12,39,116,2,5,77,290,4,159,31,20,274,69,1570,22,97,194,99,12,45,154,8,7,90,267,10,187,29,20,266,63,1591,10,79,185,124,3,57,163,4,8,108,247,9,184,27,15,282,86,1648,18,51,225,94,8,70,170,12,6,123,286,14,179,32,14,274,72,1628,17,53,229,118,15,79,171,7,11,127,257,10,175,34,12,246,67
여성,광업,22,4,2,1,2,-,2,2,-,-,1,7,-,1,-,-,-,-,32,3,-,3,3,-,4,3,-,-,1,9,1,1,-,1,2,1,28,2,2,1,3,-,2,3,-,1,1,9,1,2,-,1,-,-,28,1,-,3,2,-,1,3,-,-,-,15,-,1,1,-,1,-,33,-,1,3,4,-,-,1,-,-,-,14,-,8,-,-,2,-
